South Bounding, West Bounding, North Bounding, East Bounding
-0.93557,13.21292,0.92754,15.25294
-2.3811,12.90454,-0.51696,14.94632
-3.82994,12.59452,-1.96662,14.63885
0.50983,8.88527,2.37352,10.92635
1.95431,12.2837,3.81837,14.3257
0.50937,11.97679,2.37288,14.01728
-0.93595,11.66953,0.92773,13.70976
-2.38096,11.36135,-0.51726,13.40303
-5.27659,13.82719,-3.41242,15.87549
1.9549,10.72737,3.81842,12.7699
-0.93547,10.11312,0.92795,12.15347
-2.38047,9.80493,-0.5169,11.84669
1.95584,13.81667,3.81956,15.8587
0.51035,13.50959,2.3744,15.55032
-2.38405,12.89328,-0.52016,14.93462
-3.82866,12.58405,-1.96527,14.62834
-5.27401,12.27391,-3.40963,14.32206
1.95528,9.18322,3.81884,11.22554
0.5098,8.87631,2.37367,10.9168
-2.3824,14.44626,-0.51851,16.48758
-5.27661,13.82607,-3.41245,15.87365
-3.83077,9.50385,-1.96674,11.54787
1.95593,13.82387,3.81997,15.86617
-2.38282,8.25913,-0.5196,10.30116
-0.93715,11.65615,0.92617,13.69703
-2.3824,11.34815,-0.51873,13.38968
-2.38123,14.43783,-0.51736,16.47929
-3.83022,14.12758,-1.96672,16.17229
-2.38387,9.80163,-0.52046,11.84386
-3.82905,9.4931,-1.96525,11.53698
1.95797,13.81731,3.8219,15.8601
0.50843,13.50953,2.37223,15.55027
-0.93666,13.20196,0.92705,15.24267
-2.38154,12.89377,-0.51822,14.93577
-2.38368,8.26487,-0.5204,10.30709
-3.82916,7.95598,-1.96508,10.00059
-2.38349,11.35848,-0.51978,13.40004
-3.82841,11.04953,-1.96474,13.09404
-2.38148,14.45304,-0.5176,16.49468
-3.82624,14.14378,-1.96277,16.18855
-5.27566,13.83305,-3.41157,15.88119
-2.38335,9.81386,-0.51962,11.85556
-3.82806,9.50453,-1.9646,11.54965
-2.38104,12.90175,-0.51728,14.94355
1.95508,9.18378,3.81909,11.22631
-2.38424,8.26036,-0.52076,10.30267
0.5098,11.96525,2.37319,14.00663
-0.93541,11.65825,0.92817,13.69876
-2.3815,14.43875,-0.51814,16.48104
-3.82659,14.12986,-1.96282,16.17455
0.51099,13.51032,2.37445,15.55158
-0.93412,13.20278,0.92945,15.24386
-2.38331,12.89395,-0.52008,14.93635
-2.38338,8.26228,-0.51976,10.30406
-2.3837,14.4458,-0.52017,16.48752
-3.82897,14.13657,-1.96499,16.18138
-0.93662,10.11814,0.92638,12.15909
-2.38199,9.81047,-0.51826,11.85191
-3.82672,9.50121,-1.96322,11.54611
-0.9343,13.20761,0.92892,15.24837
-2.38386,12.8987,-0.5202,14.94069
-3.82852,12.58977,-1.9652,14.63434
-5.27366,12.27975,-3.4096,14.32819
-0.93634,8.56915,0.92704,10.60993
-2.38133,8.26115,-0.51797,10.30293
-2.3837,11.34987,-0.52024,13.39191
-3.82882,11.04122,-1.96502,13.08555
-5.27344,10.73101,-3.40983,12.77953
-2.38296,14.44025,-0.51937,16.48172
-3.82801,14.13114,-1.96423,16.17561
0.51132,13.51281,2.37449,15.55363
-0.93415,13.20559,0.92956,15.246
-2.38308,12.89616,-0.52007,14.93835
-3.82848,12.58771,-1.96462,14.63141
-5.27313,12.27747,-3.40958,14.32597
-2.3801,14.4378,-0.51704,16.47949
-3.8298,14.12822,-1.966,16.17219
-5.27456,13.81805,-3.41089,15.86633
