South Bounding, West Bounding, North Bounding, East Bounding
-2.3895,14.3837,-0.5029,16.4307
-3.8376,14.0738,-1.9506,16.1233
1.9448,10.6763,3.8318,12.7246
0.5014,10.3692,2.3881,12.416
-2.3901,9.7535,-0.5033,11.8005
-3.8377,9.4438,-1.9511,11.4936
-5.2856,9.1324,-3.3982,11.1867
-0.9448,13.1418,0.9417,15.1879
-2.3926,12.833,-0.506,14.8802
1.9477,9.1135,3.8346,11.161
-0.9439,8.4988,0.9427,10.5444
-2.3918,8.1896,-0.5052,10.2368
1.9456,12.2073,3.8324,14.2546
-0.9462,11.5923,0.9405,13.6379
-2.3898,11.2845,-0.5032,13.3312
-5.2854,10.6633,-3.3985,12.7171
-5.2847,13.7627,-3.3976,15.8164
1.9449,10.6759,3.8322,12.724
-0.9465,10.0613,0.9403,12.1074
-0.9463,13.1462,0.9357,15.1912
-2.394,12.8375,-0.5123,14.8835
-3.8378,12.5286,-1.9557,14.5774
1.9484,9.1171,3.8357,11.1651
0.5008,8.8092,2.3873,10.8557
-0.9476,8.5015,0.9394,10.5471
0.5017,11.8969,2.3887,13.9427
-0.946,11.5886,0.9404,13.6345
-2.39,11.2809,-0.5028,13.3277
-3.8377,10.9712,-1.951,13.0207
-2.3922,14.3706,-0.5055,16.4177
-3.8403,14.0609,-1.9532,16.1103
-5.2836,13.751,-3.3967,15.8044
1.9453,10.6726,3.832,12.7195
-0.9468,10.0577,0.9399,12.103
-2.3907,9.7499,-0.504,11.7963
-3.8388,9.4401,-1.9519,11.4892
-5.2823,9.13,-3.3953,11.1831
1.9461,13.7737,3.8332,15.8208
0.5024,13.467,2.389,15.5124
-2.3896,12.8511,-0.5032,14.8975
-3.838,12.5415,-1.951,14.5903
-5.2859,12.2308,-3.3989,14.2835
0.5012,11.8902,2.3879,13.9361
-0.9473,11.5822,0.9398,13.6278
-2.3909,11.2744,-0.5043,13.3211
-3.8393,10.9647,-1.9521,13.0141
-5.2825,10.6548,-3.3957,12.7081
1.949,10.6592,3.8363,12.7063
0.501,10.3518,2.3874,12.3969
-0.9476,10.044,0.9393,12.0888
